iter	Passed	Remaining
0	147	146903
1	150	74987
2	151	50480
3	153	38295
4	157	31368
5	159	26502
6	162	22997
7	164	20369
8	166	18284
9	169	16797
10	171	15397
11	172	14228
12	174	13240
13	175	12393
14	177	11677
15	181	11142
16	183	10591
17	184	10087
18	186	9639
19	188	9222
20	189	8849
21	191	8506
22	193	8217
23	195	7943
24	198	7723
25	200	7526
26	202	7305
27	204	7098
28	206	6916
29	211	6838
30	213	6665
31	214	6496
32	216	6336
33	218	6208
34	220	6069
35	222	5948
36	224	5833
37	226	5730
38	227	5616
39	229	5512
40	231	5419
41	233	5334
42	235	5248
43	238	5179
44	239	5092
45	241	5011
46	242	4926
47	244	4850
48	246	4781
49	247	4711
50	249	4640
51	251	4578
52	253	4527
53	255	4469
54	256	4411
55	258	4358
56	260	4306
57	262	4256
58	273	4359
59	274	4305
60	276	4259
61	278	4207
62	279	4162
63	282	4126
64	283	4083
65	285	4043
66	287	4001
67	288	3960
68	290	3922
69	292	3883
70	294	3858
71	296	3819
72	297	3783
73	299	3746
74	300	3708
75	302	3677
76	304	3648
77	306	3618
78	308	3591
79	310	3568
80	312	3540
81	313	3508
82	314	3472
83	315	3439
84	316	3410
85	319	3390
86	320	3367
87	324	3358
88	325	3336
89	327	3311
90	328	3284
91	330	3257
92	331	3233
93	332	3209
94	334	3186
95	336	3165
96	338	3148
97	340	3130
98	341	3110
99	343	3090
100	345	3073
101	347	3055
102	348	3039
103	350	3022
104	353	3008
105	354	2992
106	357	2982
107	359	2965
108	360	2948
109	362	2932
110	364	2917
111	365	2899
112	368	2889
113	370	2880
114	372	2867
115	374	2852
116	375	2833
117	377	2819
118	378	2805
119	380	2793
120	384	2792
121	386	2777
122	387	2766
123	389	2753
124	391	2739
125	392	2724
126	394	2708
127	395	2696
128	397	2686
129	400	2677
130	401	2666
131	403	2655
132	405	2641
133	406	2629
134	408	2618
135	410	2607
136	412	2597
137	414	2589
138	415	2576
139	417	2563
140	418	2550
141	419	2534
142	420	2520
143	421	2507
144	423	2495
145	424	2483
146	426	2472
147	427	2462
148	429	2451
149	430	2438
150	431	2426
151	432	2414
152	434	2403
153	435	2391
154	436	2379
155	437	2367
156	438	2355
157	440	2346
158	441	2337
159	443	2327
160	444	2315
161	445	2305
162	446	2293
163	447	2283
164	449	2273
165	450	2262
166	451	2251
167	452	2241
168	453	2231
169	455	2223
170	456	2215
171	458	2206
172	459	2196
173	460	2187
174	461	2177
175	463	2169
176	464	2159
177	465	2149
178	466	2140
179	467	2130
180	469	2123
181	470	2115
182	472	2107
183	473	2098
184	474	2089
185	475	2081
186	476	2072
187	478	2065
188	479	2057
189	480	2049
190	481	2040
191	483	2032
192	484	2026
193	486	2019
194	487	2012
195	488	2005
196	490	1997
197	491	1990
198	492	1982
199	493	1975
200	495	1968
201	496	1961
202	498	1956
203	499	1950
204	501	1945
205	502	1937
206	504	1932
207	505	1925
208	507	1919
209	508	1914
210	510	1908
211	511	1902
212	513	1898
213	515	1893
214	516	1887
215	518	1880
216	519	1873
217	520	1866
218	522	1861
219	523	1856
220	524	1850
221	526	1844
222	527	1838
223	529	1835
224	531	1829
225	532	1823
226	533	1818
227	535	1812
228	536	1806
229	537	1799
230	538	1793
231	540	1787
232	541	1781
233	542	1776
234	544	1771
235	545	1766
236	546	1760
237	548	1755
238	549	1749
239	550	1743
240	552	1738
241	553	1733
242	554	1727
243	555	1722
244	557	1717
245	558	1712
246	560	1708
247	562	1706
248	563	1701
249	565	1695
250	566	1690
251	567	1685
252	569	1680
253	570	1675
254	571	1670
255	573	1666
256	574	1662
257	576	1657
258	577	1652
259	578	1647
260	580	1643
261	581	1638
262	582	1633
263	583	1628
264	585	1623
265	586	1619
266	588	1614
267	589	1610
268	590	1605
269	592	1601
270	593	1596
271	594	1591
272	595	1586
273	597	1582
274	598	1578
275	600	1573
276	601	1571
277	603	1568
278	605	1565
279	607	1562
280	609	1558
281	610	1554
282	612	1551
283	613	1547
284	615	1543
285	616	1538
286	618	1535
287	619	1531
288	620	1527
289	622	1523
290	623	1519
291	624	1515
292	626	1511
293	627	1507
294	629	1503
295	631	1502
296	633	1498
297	634	1495
298	636	1492
299	637	1487
300	638	1483
301	640	1479
302	641	1476
303	643	1472
304	644	1468
305	646	1465
306	647	1461
307	648	1457
308	650	1453
309	651	1449
310	652	1445
311	653	1441
312	654	1437
313	656	1433
314	657	1429
315	658	1425
316	659	1421
317	661	1418
318	662	1414
319	664	1411
320	666	1408
321	667	1405
322	668	1402
323	670	1398
324	671	1395
325	673	1391
326	674	1389
327	676	1386
328	678	1383
329	679	1380
330	681	1376
331	682	1373
332	684	1370
333	685	1367
334	687	1364
335	688	1360
336	690	1358
337	691	1355
338	693	1351
339	694	1348
340	696	1345
341	697	1342
342	699	1339
343	700	1336
344	702	1333
345	703	1330
346	705	1327
347	706	1324
348	708	1321
349	709	1317
350	710	1314
351	712	1311
352	714	1308
353	715	1305
354	716	1302
355	718	1299
356	719	1296
357	721	1293
358	723	1291
359	724	1288
360	725	1285
361	727	1281
362	728	1277
363	729	1274
364	730	1270
365	731	1267
366	732	1263
367	733	1260
